<!-- Mode: physical lines (non-empty) -->

| Lines | File |
| 200 | `backend/supabase/database/lesson_mode.py` |
| 196 | `tools/prefect_pipeline.py` |
| 196 | `tools/batch_processor_pkg/originals_json.py` |
| 195 | `tools/check_lesson_json_column.py` |
| 195 | `tools/strategy_converter/tests/test_round_trip.py` |
| 194 | `tools/analyze_table_structure.py` |
| 194 | `tools/docx_parser/slot_extraction.py` |
| 193 | `tools/batch_processor_pkg/week_flow.py` |
| 193 | `tools/utilities/generate_demo_data.py` |
| 190 | `backend/utils/lesson_times.py` |
| 190 | `backend/supabase/database/users.py` |
| 190 | `tools/validate_input_output_match.py` |
| 189 | `tools/maintenance/verify_hyperlink_placement.py` |
| 188 | `tools/batch_processor_pkg/extraction_primary_file.py` |
| 187 | `tools/rename_week_and_remove_duplicate.py` |
| 187 | `tools/docx_renderer/table_cell/format.py` |
| 186 | `tools/docx_renderer/renderer.py` |
| 186 | `tools/strategy_converter/utils.py` |
| 185 | `tools/fix_pairing_logic.py` |
| 184 | `backend/services/objectives/font_calculation.py` |
| 183 | `backend/services/sentence_frames_pdf_generator.py` |
| 182 | `tools/validate_schema.py` |
| 181 | `backend/authorization.py` |
| 181 | `backend/redis_storage.py` |
| 179 | `tools/analyze_daniela_output.py` |
| 177 | `frontend/src/components/analytics/useAnalytics.ts` |
| 176 | `tools/batch_processor_pkg/week_flow_sequential.py` |
| 175 | `frontend/src/components/CurrentLessonCard.tsx` |
| 174 | `backend/services/lesson_steps/vocab_frames_steps.py` |
| 174 | `tools/analyze_hyperlink_diagnostics.py` |
| 174 | `tools/fix_sentence_frame_punctuation.py` |
| 173 | `backend/schema.py` |
| 173 | `tools/utilities/generate_level2_demo_data.py` |
| 172 | `backend/services/curriculum_gaps.py` |
| 172 | `tools/utilities/create_media_fixtures.py` |
| 170 | `tools/migrate_supabase_schema.py` |
| 168 | `frontend/src/components/slot_configurator/useSlotConfigurator.ts` |
| 167 | `backend/database/users.py` |
| 167 | `backend/services/sentence_frames/extraction.py` |
| 167 | `tools/diagnostics/verify_enhanced_warnings.py` |
| 165 | `backend/llm/domain_analysis.py` |
| 164 | `backend/lesson_schema_vocabulary.py` |
| 164 | `backend/database/lesson_mode.py` |
| 164 | `tools/complete_validation.py` |
| 164 | `tools/diagnostics/test_enhanced_warnings.py` |
| 163 | `tools/test_setup_checker.py` |
| 162 | `tools/db/initialize_db.py` |
| 161 | `tools/batch_processor_pkg/week_flow_load.py` |
| 160 | `tools/strategy_converter/schema_validator.py` |
| 158 | `backend/services/objectives_printer.py` |
| 156 | `backend/llm/error_analysis.py` |
| 155 | `backend/database/slots.py` |
| 155 | `backend/llm/retry_prompt.py` |
| 155 | `backend/migrations/upgrade_lesson_steps_table.py` |
| 155 | `tools/delete_plan_by_week.py` |
| 155 | `tools/docx_utils.py` |
| 155 | `tools/docx_renderer/style.py` |
| 152 | `tools/dagster_pipeline.py` |
| 151 | `tools/airflow_dag.py` |
| 149 | `backend/metrics.py` |
| 148 | `tools/scraper/export_doc_ids_to_docx.py` |
| 147 | `tools/migrate_supabase_via_api.py` |
| 145 | `backend/llm/schema_example.py` |
